,User_name,Review title,Review Rating,Review date,Review_body,Movie_name,movie_id
0,SnoopyStyle,great work from Jonah Hill,8/10,25 March 2017,"It's 2005 Miami. David Packouz (Miles Teller) is struggling as a masseuse. He reconnects with childhood friend Efraim Diveroli (Jonah Hill). Efraim has been buying guns from police auctions and reselling them online. There is a new government clearing house website for military contracts and he's looking to pick up some of the crumbs. David joins him after getting girlfriend Iz (Ana de Armas) pregnant. With dry cleaner Ralph Slutsky (Kevin Pollak) providing the capital, they start getting some contracts. Eventually, they meet unsavory arms dealer Henry Girard (Bradley Cooper) and get a massive Afghan deal.This is unlike Todd Phillips' more famed comedic movies. It's not big laughs but it is a lighter look at a darker world. Jonah Hill gets chubbier to fit this character perfectly. He is a douche but he is not a threatening douche. He has just enough crazy but not uncontrolled. His chemistry with Teller is terrific. This is a compelling story told in a compelling and engaging way. It's great all around and an overlooked gem.",War Dogs,2005151
1,CANpatbuck3664,Interesting Story About 2 Con Artists Selling Weapons to the U.S. Government,8/10,3 September 2016,"I was pretty stoked to see War Dogs. Jonah Hill has been on a roll lately and having an unconventional director like Todd Phillips telling a story about 2 guys lucking into a giant contract to arm the U.S. government was intriguing. I'm also a big fan of Lord of War, I think it's really underrated (one of Nicolas Cage's best movies) and I was excited to see a similar story. After having seen War Dogs, don't expect something mind-blowing but it does have an interesting story to tell.*Minor Spoilers Ahead* David Packouz (Miles Teller) is working as a massage therapist in Miami. He's working to try and start a family with his girlfriend Iz (Ana de Armas) but he hasn't really found any purpose in his life. He gets stoned and tries to get through his day and his clients sexually harassing him. He also makes a stop as he's trying to sell bed sheets on the side and its not going well. The next day he has to go to a funeral for a friend and he runs into his best friend from middle school Efraim Deveroli (Jonah Hill). The two were trouble makers in their younger years and its implied that their parents separated them against their will. Efraim is happy to see David and they catch up a little bit. Efraim laughs at what David is doing and tells him he had a falling out with his last business partner (his uncle) and he moved back to Miami to set up shop for himself. He deals in small time contracts supplying arms to the U.S. government. David is impressed but is against the war. They go to score weed and when they get ripped off Efraim pulls out an assault rifle from the trunk of his car. It certainly causes the dealers to scatter and he invites David to his office to explain his job to him a little better the next day.The plot of this movie has a really interesting hook. AEY (the company David and Efraim eventually form) finding contracts to fill that major suppliers ignore and making bank off of them is fun to watch. Efraim and David aren't completely incompetent but they're dishonest and they don't understand their place in their industry. How they could appear legitimate enough to be so seriously involved with Uncle Sam is baffling. It's a so strange it's true story and they include some interesting bits about how the U.S. government supplied their army in the Iraq war. War Dogs doesn't have too many twists and turns that you don't see coming but you'll find yourself wanting to know where David and Efraim will go next. It's not as informative as The Big Short for example but you do pick up some good nuggets along with following a pretty engaging story.I mentioned that Todd Phillips was a strange choice considering how serious the material is. The trailers for War Dogs are misleading, the movie is more of a drama than a comedy but I enjoyed it all the same. It did have the sense of humour that Todd's movies tend to have (on the dark side and sometimes vulgar). The movie was also a lot more stylish than I expected it to be. It's well filmed and there was more effort put into creating an attractive movie as opposed to just relying on the material. The soundtrack was also good but it was a little on the nose and they really blared it at points. It didn't make me mad but the lack of subtlety with it was a little annoying.Jonah Hill continues his recent run of excellent work. It's not my favourite performance of his but he brings life to this movie and although his character is a scumbag, he's the proficient one and how he's able to navigate through his job is one of the big reasons War Dogs works. Miles Teller is also good, he's playing the more normal of the two characters and he's less in your face. Bradley Cooper really does excellent work in the short amount of screen time he gets. He's menacing and I was happy to watch him play a different part in this movie. His character was more in the background and I liked that, any other movie would have made him an over-the-top villain. He was an appropriately ruthless businessman and it seemed more real. It was nice to see Kevin Pollak again and I also liked Ana de Armas in her role, she's definitely a supporting part and while she's not given a whole lot of backstory, she's fine in her part.Another small thing I liked with War Dogs is that the ending didn't go the typical route. This is a rise and fall story and it looks like you're going to get that same old ending. War Dogs sidesteps that and instead of scolding David for doing what he did, they go for something more open-ended. The moral of the story is that what they did was wrong but instead of beating you over the head with it, they pose the question that will David stick to his new found moral code when presented with temptation? It was different and it upped the grade of the movie for me.I thought War Dogs was an interesting movie that did a good job presenting the story of these 2 guys in a different way. It follows a familiar arc and you can guess where the story is going to go but the acting and the new angle it presents on arms dealers help compensate. I still prefer Lord of War but this was a solid movie and a good way to close out the summer movie season.",War Dogs,2005151
2,lee_eisenberg,"war is a business, and we're the commodity",6/10,30 November 2016,"I don't know enough about the original story to determine the accuracy of Todd Phillips's ""War Dogs"", but it's an enjoyable movie. The tricks pulled by David Packouz and Efraim Diveroli just go to show that the people in the business of weapons have no principles (even violating arms embargoes). They're out to make money by any means necessary. To be certain, the wars in Afghanistan and Iraq proved quite profitable for weapons manufacturers. The mistake that Packouz and Diveroli made was getting caught.It's not a masterpiece, but it does a respectable job showing the degrees to which these types go to enrich themselves. A very slimy world indeed.
                
                    59 out of 70 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",War Dogs,2005151
3,phd_travel,Eye opening - very interesting and funny look at arms dealing,9/10,1 September 2016,"The story is eye opening, relevant and very clearly told with a humorous tone through the serious subject matter. This is based on a true story with some fictionalized elements to make it entertaining. A massage therapist links up with a childhood friend who is a small time arms dealer. Very interesting to get a look at the legal but morally questionable world of arms dealing. I thought this would be a juvenile buddy movie with a bit of war thrown in but it isn't.Jonah Hill has some funny lines and he does a great job with the over the top character but he can be subtly sinister when he needs to be. Miles Teller plays his character sympathetically and I liked him here. Quite different from the rather annoying characters he usually plays. Bradley Cooper who produced the movie and has a small but pivotal role and he is effective as an arms dealer.Quite a transporting experience as the action takes you from Miami to Jordan and Iraq with some funny situations there and Albania.Watch this movie. It deserves to do better than it has so far.",War Dogs,2005151
4,SpoilerAlertReviews,Is that even legal??,8/10,1 September 2016,"Hangover/Due Date director Todd Philipps makes a film base on the true story of young, entrepreneur gun-runners David Parkouz and Efraim Diveroli who managed to secure a ridiculous contract to supply arms to the afghan army via the pentagon. Miles Teller plays the struggling and ambitious David who bumps into his childhood buddy Efraim played by Jonah Hill who is somewhat of the opposite, a loose cannon, fearless and a little trigger-happy. Now, Efraim has found himself a little niche in the market, the market of arms dealing and strikes up small deals with the US military. David needs a job to support his expecting girlfriend, the stunning Ana de Armas who looks a little like Penelope Cruz only more beautiful and has one of those exotic accents. Efraim sees an opportunity for David and the two team up to what leads to the deal of the century for all parties involved. Now, the film has plenty of other film references most notably Scarface, even one of the promotional posters is a respectful nod to the DePalma/Pacino's film. But it's actually Lord of War Efraim is a huge fan of in real-life and it's probably more like Lord of War than Scarface, yet it has tinge of Pain & Gain, another crazy true story movie. Maybe it's Miami? But it has that vibrant and funny yet serious storytelling style that makes the film almost unbelievable and shocking. The rest of the cast does include Bradley Cooper who also produced the film, playing the harden, borderline war-criminal, pretty much the Branson of the arms market and someone you don't really want to be messing with. There's Kevin Pollack playing the bankroll and an awesome cameo of venture capitalist playboy millionaire Dan Bilzerian. It's accompanied by a great soundtrack with tracks from 50cent, Beastie Boys, Iggy Pop, UB40 and CCR but the awesome score threw me completely thinking it was Harry Gregson-Williams or Steve Jablonski, no, it was Cliff Martinez with those ambient sounds. The film is highly entertaining, funny in parts but this is not a comedy; its perfectly paced with some great scenes like the duo gun-running across the triangle of death and some nice camera work. However it's not to epic portions, not that it should put anyone off watching this, it's still a very watchable and enjoyable film and I don't think they could have done it any better. Running Time: 8 The Cast: 8 Performance: 8 Direction: 8 Story: 8 Script: 8 Creativity: 8 Soundtrack: 9 Job Description: 8 The Extra Bonus Points: 5 for a slick story, good editing and a great score/soundtrack to boot. 78% 8/10",War Dogs,2005151
5,tomgillespie2002,Entertaining true-life tale that doesn't have the nerve to go all the way,6/10,3 December 2016,"There were many shocking and quite unbelievable stories to emerge from the U.S. during the Bush/Cheney administration, but none were quite as fantastical as the overwhelming position 20-something minor-league arms dealers Efraim Diveroli and David Packouz found themselves in. Their tale is utterly preposterous, but entirely true, although events naturally have been dramatised for the film. Like something straight out of a culture-clash comedy from the 1980s, Diveroli and Packouz landed a $298 million Pentagon contract involving over a hundred million rounds of ammunition. The mishandling of the deal and the pair's subsequent falling out was covered in a Rolling Stone article by Guy Lawson, and later in a book by Lawson entitled Arms and the Dudes.David Packouz (Miles Teller) is a pot-smoking massage therapist working in Miami, Florida, dividing his spare time between his girlfriend Iz (Ana de Armas) and trying, somewhat unsuccessfully, to flog the high-quality Egyptian bed-sheets that he has invested in to retirement homes. At a funeral, he encounters his old best friend Efraim (Jonah Hill), who has made a success in Los Angeles trading in arms on eBay. They rekindle their friendship, despite Efraim proving himself to be a unpredictable loose-cannon, and David eventually joins his chum at his new business venture AEY. With the war raging in Iraq, the government has set up a website offering contracts for weapons and military equipment. David's job is to pick up the crumbs; those small orders the big companies ignore.There are, as Efraim informs David, a hell of a lot of crumbs, and the two are soon making their fortunes while Efraim indulges in everything from prostitutes to copious amounts of cocaine. The two grew up loving Brian De Palma's Scarface (1983), and imagery from the film adorns AEY's office walls. The same unquenchable greed that possessed Al Pacino's character seems to drive Efraim also, and it isn't long before you can see the inevitable downfall on the horizon. Director Todd Phillips, on the back of those terrible The Hangover sequels, seems to be intent on making a semi-serious film, and wisely takes inspiration from some of America's great dark-side- of-the-American-dream cinematic works, such as De Palma's aforementioned drug-lord saga and Martin Scorsese's Goodfellas (1990). But, unlike Adam McKay's The Big Short from last year, Phillips doesn't have the nerve to go all the way.Where McKay exquisitely balanced comedy, drama and satire to dazzling effect, Phillips seems too intent on focusing on the goofball antics of its hapless anti-heroes to deliver any real bite. This is a story that highlights many things from the government's irresponsible approach to warfare, the dangerous practice of allowing just anybody to legally deal in arms, and the devastating effects of blind ambition, but these themes are only touched upon. Packouz is essentially our lead character, but he feels like little more than an exposition tool, with de Armas getting the thankless role of the boring partner who must warn her hubby whenever his actions lead him into the dark side. Thankfully, Jonah Hill is a tour de force, cranking his loathsome character up to 11 without ever feeling unbelievable, proving once again what a versatile actor he is becoming. If you're looking for an intelligent satire of a fascinating recent event, then you probably won't find it here, but as a piece of entertainment, it certainly delivers.",War Dogs,2005151
6,subxerogravity,"Seems like an odd pairing of Miles Teller and Jonah Hill in a war pic, but real great pic.",7/10,19 August 2016,"Similar tone to Whiskey Tango Foxtrot, It was a lot more serious than what I expected after seeing the trailer. It's not the first time I've seen either Miles Teller or Jonah Hill in something more dramatic, I just may have assumed their first real outing together in a movie would be more of a straight up comedy.Semi based on a true story of two young guys from Miami who became arms dealers, Miles Teller narrates the story of how David Packouz teamed up with this best friend from the tenth grade, Efraim Diveroli and got in too over his head.I was expecting more comedy from the two rather than just two young stars being entertaining. The movie is not disappointing with the team of Teller and Hill. If you are a fan of either one of these guys you are going to love the film.Jonah Hill gives a performance that seem to be something between what he did in 21 Jump Street and the Wolf of Wall Street. The part just fits him so well as he plays a con man who tries to be everyone to everything on the outside but is really evil in the inside, and no matter how much you discover about his evil, Hill still makes the character likable.But the likability is more met for Miles Teller, who Hill is supporting with greatness. Teller plays the sympathetic role of a man whose lost in his life at a time when his girl is about to have a baby, and he needs the money.Director, Todd Phillips weaves a story about how people have profited from the war, and done bad things to profit from a bad war. It's almost like the Big Short, with it's explanation about how the arms game really works, but I always felt that the actual story was getting overshadow by the personalities of the two stars worthy of watching.But overall, It is a very funny film and very entertaining, thanks to the Hill, Teller combohttp://cinemagardens.com",War Dogs,2005151
7,skullhead739,"Exciting, funny, and illegal",8/10,21 July 2020,"The movie starts off narrated, interesting and very cohesive. They do a great job of introducing characters and foreshadowing what is later to come. The characters are very well developed and their relationship especially at the start is funny and light hearted. The acting is great if you like films like ""superbad"" and ""neighbour's"".The plot itself is based off a true story and is really interesting from start to finish. The action is great with slight comedy here and there. It has very wolf of wall street vibes and is a thrill ride.When Bradley Cooper gets involved there is a lot of mystery and suspense. You really don't know whats gonna happen and your interest becomes even greater. The contract part was extremely predictable. The ending was very weird, without spoiling it, someone goes to jail for what seems a really short amount of time considering the crime. Then someone gets given money which is somewhat satisfying. But you really don't get a feeling of revenge or justice.Summary:
Overall I was really surprised at how good this was. Its not just your average comedy. It has great characters, acting, story, and is a blast to watch. Highly recommended.",War Dogs,2005151
8,bodeanura,"It's good. Better than ""fine"" but not ""great"".",8/10,21 August 2016,"Right off the bat the best part of this movie is the acting: Teller and Hill have great chemistry on screen. Jonah does a particularly good job at playing the ""guy you love to hate"". I can't attest to the faithfulness of their portrayal of the real life people since I don't know anything about them. The rest of the cast does a great job as well.The marketing for this movie was, unfortunately, deceitful: the trailer made it out to be this upbeat, funny, over the top comedy - which it's not. In reality the movie has a much slower pace, not a lot of situational humor and is certainly not filled with hilarious quips (the bulk of which are in the trailer). This is not to say that the movie was bad or not at all funny, it just wasn't what I expected (and I am sure I'm not alone).My final critique will go unnoticed for the majority of viewers but I found it personally offensive so I have to report it: some of the movie takes place in Albania, only the set for Albania is actually Romania. Which is fine, I understand that they probably did this for practical reasons and as a Romanian movie goer I just have to accept it (we all recognized it immediately though). However, at some point in the movie an ""Albanian"" woman says something, only she says it in Romanian. This may not seem like much but it totally took me out of the movie and ruined the experience for me. I find it completely unacceptable that they could not hire an Albanian to say those few lines. The two languages might seem interchangeable to the rest of the world, I am sure, but that was very much NOT the case for me and everyone else in the theater.I am a paying movie goer as well and I expect to be just as entertained as everyone else. This is, of course, not the first time that I've seen this in a film. But when a producer does something like this it shows me that they don't respect their movie, so they can't expect me to.My rating, however, is not based on this final bit of criticism. I gave it a 7/10 for slow pacing and lack of humor, which is the opposite of what I expected.I'd still recommend it, just don't expect to be blown away.After watching it for a second time I decided to change my original rating from 7/10 to 8/10, mainly because the acting is just great and I respect the fact that the movie made me think about it and made me want to see it again.",War Dogs,2005151
9,monismilan06,Wolf of wall street meets Lord Of war,8/10,27 August 2016,"If you like wolf of wall street, I believe you are gonna like this movie too, even though it not have all the funny moments. The plot is similar a nice guy (Teller) find a way to make money doing stuff located on the line of legal and illegal. The music was well chosen for every scene, acting (specially from Hill and Cooper) was outstanding. On the contrary if you though that Wolf.. didn't show enough all the people who suffer from their actions, and that the movie glorifies bad actions and the eternal search for money, you will not like this movie. It all depends in the end of your personal standards of what can be made fun of, and what subjects are too controversial (in this case, war, guns and arms dealers) to have a good time with.
                
                    107 out of 138 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",War Dogs,2005151
