,User_name,Review title,Review Rating,Review date,Review_body,Movie_name,movie_id
0,Abdulxoxo,The most important film in MCU,8/10,2 December 2020,"As I was watching this movie today, I realized it's one of the most important film in mcu. It has tons of elements that are used heavily in future MCU films, egFleshing out Hawkeye°In this film we get to see the other side of Hawkeye, we learn about his family, who would played a vital role to his character's dark turn in Endgame.°This movie also solidifies his relationship with Black Widow which makes her demise in endgame even more impactful.°He also inspired Wanda to shake off her past and become an Avenger.
The arising tension between Steve and Tony° Things started to get sour between Steve and Tony, after him and Bruce accidentally created Ultron and also Vision. And the destruction of Sokovia at the end of the movie is also one of the main reason for the Sokovia Accords, which are all part of the reason that split the superheroes in two sides in CW.
Intro of Scarlett Witch and Vision°Vision and Scarlett are both introduced in this film, and they both would go on and become crucial members of the Avengers.Thanos had enough° The events of this film upset Thanos so much that he decided to ""do it himself"" which foreshadows the event of Infinity War.
Avengers as a unit°It's also the first appearance of the Avengers functional as a team. They're not just meeting and building the team like in the first Avengers, they aren't split like in Civil War and Infinity War or broken like in Endgame. They're just out there taking on bad guys, hanging out, and fighting evil robots.
Hulk/Bruce banner story arc°Bruce Banner started having problems transforming into the Hulk in this movie which keeps recurring in Infinity War, until ultimately resolved at Endgame.°Hulk buster armor°At the end of this film, Hulk left on the quinjet which from there, you know, Ragnorak.
Wakanda/ Black panther tease°Klaw is first introduced in this film, he would go on to become one of Black panther's main villain. Wakanda and vibranium are mentioned as well.
Black widow's arc°Flashback scenes of Black Widow's years of training might be further explored in the her upcoming solo movie.Ragnarok:°Heimdall first teases Ragnarok and the fact they will lose in Thor's vision, which prompted him to fly back home to Asgard.
Ironman to save everyone°The visions of defeat he saw in this film haunt him, but he was, in the end, able to use that fear to defeat Thanos in Endgame, thus saving everyone.
°Captain almost picking up Mjolnir.°The first mention of the word ""Endgame"".
At the time of its release it was met with mixed reviews mostly because it was too muddy, yeah it had to to tell its own story, all while setting up the next four years of Marvel films. This movie deserve nothing but our utmost respect. 🙌",Avengers: Age of Ultron,2395427
1,r96sk,An enjoyable ride,7/10,18 January 2021,"Cool seeing them all together again, even if I didn't massively enjoy it. It's good, nothing more or less in my opinion.'Avengers: Age of Ultron' isn't too far off 2012's 'The Avengers', especially in terms of how I fell about it. I definitely wanted more from both, yet they are still satisfying superhero action flicks. I'd rank this narrowly below the aforementioned.Robert Downey Jr. felt a little flat to me as Iron Man - he still has a decent amount of moments, just not as many as you get in his individual films. All the others continue to entertain to an equally suitable level, I didn't overly like the characters of Aaron Taylor-Johnson and Elizabeth Olsen but I also don't have any noteworthy negatives about them. The story between Scarlett Johansson and Mark Ruffalo didn't do much for me either.With that noted, it is still an enjoyable ride through the 141 minute run time. The ending is intriguing, interested to see where that goes - I have a minor inkling about the mid-credits scene, given all the internet attention that has had - even for someone like me who knows very little overall.",Avengers: Age of Ultron,2395427
2,Movie_Muse_Reviews,"Messier, for sure, but still plenty of ""Avengers"" fun",7/10,8 May 2016,"The task of bringing together Earth's mightiest heroes took Joss Whedon into uncharted territory with 2012's ""The Avengers,"" and, despite the weight of the Marvel Cinematic Universe on his shoulders, the results were staggeringly entertaining. The task of making a sequel to that ground-breaking, monumental event film, however, and being expected to deliver on par or better results, is an entirely different beast.""Avengers: Age of Ultron"" was definitely built on the bullet point takeaways of ""The Avengers,"" which are: Make time and space for wit, banter and humor for the sake of humor to prevent the film from taking itself too seriously; give each character a story arch and independent moments; choreography clever action sequences with well-timed glory shots. These components are in full force in ""Ultron"" and make enjoying the blockbuster as easy as shoving a lollipop in your mouth.Yet ""Ultron"" is infinitely more complex than its predecessor. The number of heroes featured barely fits into a single action figure play case, meaning more subplots and back story, in addition to creating an arch of the creation and life of Ultron itself. With a plot that takes the Avengers from the eastern European country of ""Sokovia"" to New York to the African nation of ""Wakanda"" to Seoul, South Korea to Sokovia again, much of ""Age of Ultron"" is a non-stop blur.The film opens with the Avengers leading an assault on a secret HYDRA facility where they have located the staff that Loki used to lead the Chitauri invasion in ""The Avengers."" When they secure it and bring it back to New York, Tony Stark (Robert Downey Jr.) and Bruce Banner (Mark Ruffalo) discover that its power source contains a blueprint for artificial intelligence, which would allow Stark to proceed with his Ultron project, an initiative to create peace-keeping robots that could defend the world in place of the Avengers should another alien invasion occur. When Ultron (voiced by James Spader) becomes conscious, however, he interprets his peace-keeping instructions as an imperative to wipe out humankind.Added to the mix are the Maximoff twins, Pietro (Aaron Taylor-Johnson) and Wanda (Elizabeth Olsen) – also known as Quicksilver and Scarlet Witch – who decide to serve Ultron, with the latter using her powers to give each of the Avengers dangerous visions that could tear them apart.The fight scenes and action sequences are in such abundance in ""Ultron"" that it's impossible to remember them all, and the ones that are most distinct, such as Iron Man chasing down and taming a rampant Hulk using his Hulkbuster armor, are ancillary to the narrative of finding what Ultron is up to and stopping it. In other words – it's all for show. The creativity of the fight choreography also gets lost in the whirlwind of action. Captain America (Chris Evans) probably does 12 different awesome things with his shield, but they happen so fast you'll be hard pressed to recall any one of them in detail. Really clever sequences are only as fun as the build-up and payoff and those pieces are given no time to breathe.Whedon does allow for pauses in the chaos, such as the swanky Avengers Tower party featuring the film's best scene, when each Avenger tries his hand at lifting Thor's hammer, or a quiet retreat to an unexpected safe house in the countryside, but it's simply a trade- off: instead of busy action sequences, we get character relationship dynamics and back story.""Ultron"" is inundating, to be frank, but for the everything-but-the-sink mentality, it's carried by its sense of humor and a cast whose members have each proved themselves time and again to be magnetic both on their own and as part of this team. Some of the novelty has worn off, but seeing all these characters together remains a treat that even the most convoluted of stories cannot entirely dismantle. Marvel Studios truly proves with ""Ultron"" the credibility that it has built with fans, to the point that even when it gets a little ambitious and mettles a bit more (you can easily see Whedon at odds with them in this final cut), its reputation remains intact and the fans placated.As ""Phase III"" begins, adding even more characters to Marvel's cinematic universe (and even sliding Spider-Man into the mix) en route to the two-part ""Avengers: Infinity War"" slated for 2018 and 2019, it will be interesting to see if Marvel Studios barrels along into more unwieldy but delicious chaos, or reins it in a touch. Either way, should be fun.~Steven CThanks for reading! Visit Movie Muse Reviews for more",Avengers: Age of Ultron,2395427
3,sammielimehouse,Avengers: Age of Ultron (2015) Review - 8.3/10,8/10,12 December 2020,"This film isn't nearly as bad as some people make it out to be. While the story isn't as good as the first Avengers, the acting is still just as good, the action is even better, and Ultron isn't a bad villain, he's just an under-developed one. Honestly, the action makes up for most of the flaws of this movie and it also set up a lot of MCU films, or at least foreshadowed a lot. Movies like Black Panther, Avengers: Infinity War/Endgame, and Captain America: Civil War. Overall, this isn't a bad film, at all, but it is the weakest of The Avengers franchise.
                
                    29 out of 33 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Avengers: Age of Ultron,2395427
4,xamtaro,The son of Megatron and Skynet meets Tony Stark and his Amazing Friends,6/10,14 December 2015,"In 2012, there came a day unlike any other day where the worlds greatest heroes were united against a common threat and THE AVENGERS blew away audiences of all ages with the first ever comic book movie crossover. In 2015, there came another day unlike any other day and this time the world is threatened by a Ultron, the cynical critical atypical child of Skynet and Megatron...... No actually he's just a wisecracking artificial intelligence with delusions of godhood and all round evil. Turning on his creators, he threatens all life on earth with his sidekicks ""illusion- woman"" and ""not-the-flash""....I mean, Scarlet Witch and Quicksilver, and it is up to the Avengers to take him out before he can usher in THE AGE OF ULTRON. Instead of the robot dominated dystopian future that we saw in the comics, what we do get is more ""the next few days of Ultron"". No matter, it is an exciting few days with director Joss Whedon balancing the intercharacter dynamics with awesome action pieces from claustrophobic close combat, to a freeway chase, to the much advertised no holds barred beat down between the Hulk and iron man's new ""hulk buster"" Armour. All this is supplemented with beautiful special effects from Industrial Lights and Magic ILM. Flawless work befitting the movie's massive Budget.In The villain, Ultron, the Writers have crafted a memorable though under utilised bad guy. Ultron could have been the vehicle to explore deeper themes, themes that were merely hinted at but never fleshed out. Instead, His cynical yet refined snarling courtesy of James Spader reminds me of the those magnificently passionate Super villains that were so common in Saturday morning cartoons of old.And that is exactly what this is. AGE OF ULTRON can be described as a true live action cartoon. The dialogue is light hearted, the story is straightforward, the tone is fun and the action is immense. And this is not exactly a good thing. Intense scenes are interrupted and spoilt with poorly placed humour and once again the story does not seem to take itself seriously. Fights are over-choreographed, more like some fancy ballet than an all out battle. The fact that it cuts to graceful slow motion once in a while only emphasises the dance like nature of the fights. And yet the movie felt like pieces of it were cut out. The narrative does not flow as smoothly as the first with inexplicable scenes like Thor suddenly going off on his hallucination trip. Much of the premise and the characters development up to this point very much depends on the viewer watching prior marvel movies. It is here that Marvel studio's continuity heavy Creative direction rears its ugly head. To know what is going on in this movie, one would have to watch the previous movies. Captain America the winter soldier, iron man 3, the first avengers movie. But perhaps that's the point? Force people to go buy the Blu rays or the video to rewatch and get up to speed. In the end, the real big winner is distributor Disney. Ka-Ching $$.I like a good comedy. In in a big action blockbuster, I like to believe that the stakes are real, that the dangers faced by our heroes are real, that they are really fighting for the fate of the world. Instead, we get this cartoony violence, with equally cartoony superficial story, where heroes joke around with quick lighthearted quips in the middle of a fight scene where people could die. This kills tension. And if it weren't for the magnificent effects, action and direction, AGE OF ULTRON would have scored a bit lower.",Avengers: Age of Ultron,2395427
5,andreascaloni,VERY GOOD SEQUEL,7/10,21 April 2021,"In Avengers Age of Ultron the Avengers fight Ultron, an artificial intelligence obsessed with causing human extinction. The movie is a mostly satisfying sequel. It's full of action and darker than the first one. Sometimes it has a great sense of humour, the main villain is well characterized and the final act is full of tension and emotional. However in the first half isn't always gripping and there are some ridicolous moments. It isn't as good as the first one but it's still a fun and entertaining ride to join.Rating: 7,4.
                
                    10 out of 11 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Avengers: Age of Ultron,2395427
6,Top_Dawg_Critic,Not one of the top Avengers films,7/10,10 September 2018,"One user nailed it... underwhelming. What also really bothered me was Ultron's voice and character. Seemed too childish and immature for a villain. His humor was also cheesy.Still a decent film, but certainly not one of my favorite Avengers films.7/10 from me.
                
                    13 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Avengers: Age of Ultron,2395427
7,ivo-cobra8,"Avengers: Age of Ultron is a damn good Superhero flick, excellent sequel!",10/10,8 May 2016,"Avengers: Age of Ultron (2015) is a MARVEL damn good superhero flick and an excellent sequel! Yes it is miles way better than Jurassic World and Star Wars: The Force Awakens and Terminator Genisys I have enjoyed this film much better than Jurassic World, Star Wars and Terminator the new movies. This film is fun, popcorn, Action and entertaining action sequel flick. I like the first one but I love this one much more. The first time I watch it, I did not like this film at all, it did not work for me, but the second time around this flick was awesome and it become one of my favorite MARVEL superhero movies. I love this film so much, more than the first Avengers. James Spader made the movie for me! So much better than Loki. 
James Spader and Robert Downey Jr. played together in a teen movie Tuff Turf in 1985 and 30 years later they teamed together to star in a MARVEL comic book super hero film. I like Tuff Turf but Avengers: Age of Ultron is far way better film to me. I love this film so much and I will never get the backlash. Joss Whedon gave me everything I wanted in a sequel. This and the first film are in my top 10 films of all time. I waited a long time for this universe and I am loving every minute of it. Superhero movies come out all time but something like this is what I love about movies. 
Plot: Tony Stark creates the Ultron Program to protect the world, but when the peace-keeping program becomes hostile, The Avengers go into action to try and defeat a virtually impossible enemy's to get. Earth's mightiest heroes must come together once again to protect the world from global extinction. I really enjoy this movie I don't get the backslash and a lot of people were disappointed with this sequel that it is not so good as the first film. Age of Ultron is in my top 3 favorite comic book films. Number 1 will always be Captain America: The Winter Soldier and number 2 will be Captain America: The First Avenger, I just love those two films: Captain America is my favorite superhero character in MARVEL comic books. Captain America in this movie is the most decent hero in this movie, he did not want the leave the island with people stuck on it, he refused too, I have seen a hero in him. People are keep getting upset over Black Widow (Scarlett Johansson), ""oh look what they did with Black Widow."" I saw the film and I am seeing her kicking ass or calm down the Hulk, which is a pretty ballsy thing to do. Specially for someone who has no balls and she is kicking ass and driving motorcycle, driving around shooting for Cap, helping them to get vision android to beat Ultron and she is the only one with no powers, except Hawkeye (Jeremy Renner), she has the to get the thing for them. I think it would be weird to kidnapped Thor, if you put Thor in the scene duh. I enjoy this movie much more than the first film, the first film I liked okay, I like the first Avengers film. This is a fun popcorn entertainment flick that I really love. 
I like the romance between Black Widow with Hulk it was really good fast paced entertainment. I love Elizabeth Olsen as Wanda Maximoff / Scarlet Witch I like the twist by the end of the film that she turn her side around when she found out that Ultron wants to destroy everything on this planet I love that. You have Aaron Taylor-Johnson in it from Kick-Ass film as Pietro Maximoff / Quicksilver sadly he dies on the end of the film, but he saves Hawkeye and a kid from Ultron firing bunch of bullets on them I thought that was pretty decent in the film. In my opinion Aaron Taylor-Johnson did a good job playing his character. I love that they return Samuel L. Jackson to the movie back as Nick Fury and that he help them out fighting Ultron. James Spader did a terrific excellent job playing Ultron.Avengers: Age of Ultron is a 2015 American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the sequel to 2012's The Avengers and the eleventh film in the Marvel Cinematic Universe (MCU). You have a lot of action in it, I also love that Tony Stark, Steve Rogers, Thor, Bruce Banner (Hulk), Natasha Romanoff, and Clint Barton work together after Ultron failed to destroy them and they go in to safe house to Clinton's family, I like that. When Scarlet Witch (Elizabeth Olsen) touches Black Widow, Iron Man and Thor I like that you see a background of Natasha Romanoff's childhood, I like that. I love the African shipyard you see them on a ship and I love the last stand. I love that the Vision helps Avengers to destroy and stop Ultron from extinction. Btw I love to death Black Widow / Natasha Romanoff (Scarlett Johansson) she is so beautiful and charming I love her.
Overall: I am giving this flick 10 out of 10 for me Age of Ultron is my #3 favorite super hero movie. I can't wait for the next movie: Captain America: Civil War.",Avengers: Age of Ultron,2395427
8,sam_smithreview,"What a Shame, we live where Studio's take control",5/10,26 April 2016,"being a huge Marvel fan, and also Josh Whedon fan I was super excited for him to come back and do another Avengers movie. The first film was pretty brilliant. But with this film, Whedon wasn't given much air to breathe, with constant Studio interference and orders of certain shots to be re- done, or scrapped if not worse. Put in.So, you thinking why is this film so bad, if you are a fan, you should love it. Well the film changes pace, very quickly and abruptly, which is a poor sign of movie making. The Characters do not act like they would usually act in the same scenario, the progression of the story is all over the place, Scene's that just have no weight or meaning to the film, but in there because it looks cool or is setting up another independent super hero movie, the Villain that is so smart, but doesn't use the internet and his ability to control everything just to wipe out everybody, but rather has this ridiculously stupid plan. The Hero's that are suppose to be smart, intelligent and some what Spanish do not see all of the stupid plot hole that get infiltrated. The fighting was also a problem for me, it was the same. Once you saw it in the first Avengers, you see exact same thing in the second one too, and it doesn't even change a little.Overall, this film is bunched up due to the constant interference by Studio as Josh has stated so many times now.",Avengers: Age of Ultron,2395427
9,A_Different_Drummer,Assorted Trivia for AV2....,9/10,25 April 2015,"Can this film possibly ""not"" succeed? No. Even if it were a bomb (which it is most definitely not) tens of millions of fans would see it anyway. So it was a guaranteed hit. Nice work if you can get it.Best line? ""I support your avenging."" (Mrs. Hawkeye)Second Best line? ""You get hurt. Hurt em back. You get killed. Walk it off."" (CA)Third Best? ""Well I was born yesterday."" (you know who)Honorable mention? ""Beep beep"" (Natasha on her cycle, mimicking her horn, trying to warn pedestrians)Why did Spader get the Ultron gig? Because of his incredible work in Blacklist. (See it)What's the best part of this (somewhat long) movie? The back-and-forth between the characters, a Whedon trademark. And of course the action scenes. Possibly the best ever filmed.What's the worst part? The 40 minute ""dead zone"" after the Bond-style opening, where the Avengers try to make like it's Happy Hour at the local bar.Which actor consistently shines? Downey. He is the smartass each of secretly wants to hang out with.Which actor suffers the most in group play? Thor. The gravitas of being a God gets lost in team work.Name a massively over-exposed actor who finally got under-exposed? Sam Jackson.What could we have lived without? ""Explaining"" to the audience why characters like Pepper Potts were ""unavailable"" for the story (or possibly too expensive even for a quick cameo)What is Whedon's greatest enhancement to the Marvel backstory? The romance between Natasha and Hulk.What is Whedon's strangest tweak? Killing Pietro. The boys at the X-Men franchise will not be happy.Is this a better movie than AV1? No, but it is just as good. (It tries harder but has pacing issues).Who wins at the end? The studio. And Joss Whedon who BOTH wrote and directed what could be the biggest money-maker in history. Somewhere in Hollywood, JJ Abrams is actually getting nervous.-------------------------------------------------------------------UPDATED Jan 16 -- OK, so JJ deconstructed the original Star Wars script scene by scene (something no one else had ever bothered to do) and rebuilt it into the 2015 relaunch of Star Wars. And nailed it. The viewer experience, the pacing, is dead-on. And oh by the way produced the fastest film in history to hit 1.0 billion in ticket sales. So disregard the last line of the original review above. JJ is no longer nervous.",Avengers: Age of Ultron,2395427
